latent_index,edge_count
0,12
1,8
2,5
3,7
4,2
5,2
6,15
7,15
8,11
9,4
10,4
11,0
12,0
13,8
14,4
15,2
16,11
17,15
18,0
19,20
20,1
21,4
22,10
23,14
24,0
25,8
26,17
27,2
28,1
29,3
30,2
31,3
32,13
33,0
34,2
35,5
36,2
37,7
38,1
39,10
40,1
41,19
42,2
43,6
44,4
45,5
46,1
47,1
48,2
49,10
50,3
51,4
52,7
53,15
54,10
55,3
56,4
57,15
58,8
59,1
60,5
61,16
62,9
63,0
64,7
65,2
66,13
67,6
68,3
69,6
70,19
71,6
72,3
73,17
74,10
75,3
76,17
77,5
78,3
79,1
80,7
81,2
82,11
83,10
84,5
85,3
86,4
87,8
88,5
89,1
90,4
91,1
92,1
93,14
94,7
95,6
96,6
97,0
98,3
99,3
100,18
101,11
102,0
103,11
104,18
105,13
106,3
107,5
108,13
109,12
110,3
111,17
112,6
113,4
114,3
115,11
116,4
117,3
118,18
119,17
120,1
121,2
122,9
123,2
124,17
125,2
126,6
127,0
128,2
129,2
130,2
131,0
132,8
133,14
134,3
135,6
136,4
137,15
138,12
139,9
140,20
141,7
142,3
143,7
144,0
145,1
146,7
147,15
148,5
149,6
150,3
151,3
152,18
153,1
154,5
155,4
156,11
157,6
158,2
159,19
160,2
161,3
162,1
163,11
164,1
165,6
166,5
167,11
168,1
169,1
170,6
171,9
172,0
173,4
174,6
175,15
176,11
177,3
178,4
179,7
180,4
181,1
182,16
183,5
184,12
185,1
186,9
187,10
188,2
189,7
190,6
191,1
192,7
193,1
194,3
195,4
196,2
197,3
198,19
199,5
200,4
201,11
202,11
203,4
204,11
205,1
206,10
207,3
208,2
209,3
210,18
211,6
212,4
213,2
214,8
215,3
216,1
217,6
218,16
219,14
220,4
221,9
222,0
223,5
224,10
225,15
226,6
227,5
228,2
229,3
230,11
231,8
232,0
233,12
234,3
235,5
236,1
237,11
238,0
239,5
240,4
241,12
242,3
243,14
244,19
245,9
246,10
247,7
248,3
249,20
250,7
251,16
252,3
253,3
254,6
255,1
256,9
257,3
258,7
259,16
260,1
261,12
262,4
263,16
264,5
265,6
266,9
267,0
268,6
269,5
270,5
271,3
272,17
273,3
274,4
275,12
276,6
277,5
278,0
279,13
280,5
281,5
282,4
283,3
284,5
285,7
286,8
287,0
288,3
289,7
290,5
291,4
292,3
293,9
294,1
295,7
296,1
297,1
298,5
299,12
300,1
301,6
302,12
303,0
304,11
305,6
306,13
307,20
308,8
309,5
310,3
311,3
312,3
313,5
314,0
315,8
316,3
317,8
318,9
319,9
320,7
321,1
322,12
323,13
324,1
325,3
326,4
327,11
328,20
329,4
330,5
331,2
332,11
333,2
334,6
335,20
336,4
337,8
338,4
339,1
340,17
341,5
342,19
343,11
344,4
345,18
346,1
347,6
348,19
349,0
350,8
351,11
352,14
353,3
354,3
355,5
356,7
357,7
358,12
359,0
360,11
361,9
362,1
363,1
364,6
365,7
366,1
367,3
368,1
369,4
370,4
371,5
372,1
373,8
374,0
375,7
376,6
377,11
378,5
379,4
380,4
381,20
382,4
383,2
384,1
385,4
386,9
387,4
388,1
389,5
390,13
391,1
392,1
393,0
394,1
395,7
396,12
397,6
398,8
399,3
400,6
401,14
402,13
403,2
404,1
405,17
406,6
407,4
408,0
409,15
410,3
411,8
412,15
413,3
414,10
415,2
416,19
417,7
418,10
419,9
420,1
421,12
422,13
423,3
424,7
425,0
426,11
427,7
428,4
429,5
430,15
431,12
432,17
433,7
434,4
435,17
436,5
437,15
438,20
439,4
440,1
441,5
442,1
443,13
444,7
445,6
446,4
447,11
448,6
449,6
450,10
451,6
452,1
453,20
454,20
455,1
456,20
457,8
458,10
459,3
460,3
461,5
462,14
463,5
464,11
465,9
466,12
467,2
468,0
469,1
470,0
471,17
472,15
473,2
474,6
475,6
476,16
477,3
478,2
479,3
480,4
481,8
482,11
483,2
484,16
485,3
486,15
487,0
488,3
489,3
490,3
491,2
492,6
493,15
494,17
495,1
496,4
497,7
498,3
499,9
500,3
501,3
502,1
503,11
504,12
505,20
506,0
507,7
508,4
509,7
510,14
511,6
512,9
513,7
514,16
515,5
516,8
517,11
518,20
519,3
520,17
521,15
522,2
523,3
524,18
525,12
526,2
527,9
528,1
529,16
530,7
531,4
532,3
533,1
534,2
535,8
536,20
537,4
538,5
539,10
540,1
541,1
542,0
543,0
544,4
545,3
546,13
547,2
548,20
549,4
550,3
551,5
552,15
553,9
554,3
555,17
556,2
557,1
558,2
559,4
560,3
561,11
562,11
563,5
564,1
565,12
566,0
567,0
568,1
569,4
570,7
571,5
572,2
573,3
574,2
575,3
576,0
577,17
578,4
579,4
580,5
581,9
582,5
583,6
584,19
585,15
586,1
587,1
588,12
589,5
590,13
591,15
592,4
593,8
594,1
595,19
596,2
597,18
