latent_index,edge_count
0,18
1,12
2,15
3,8
4,16
5,13
6,18
7,18
8,19
9,17
10,15
11,7
12,10
13,20
14,9
15,15
16,0
17,16
18,11
19,12
20,15
21,20
22,18
23,16
24,11
25,20
26,8
27,18
28,15
29,4
30,20
31,16
32,20
33,19
34,17
35,16
36,6
37,18
38,17
39,16
40,20
41,20
42,8
43,12
44,20
45,16
46,5
47,9
48,15
49,16
50,17
51,16
52,12
53,9
54,13
55,14
56,20
57,17
58,19
59,15
60,18
61,14
62,10
63,10
64,12
65,12
66,17
67,11
68,12
69,10
70,15
71,15
72,11
73,18
74,1
75,13
76,1
77,17
78,17
79,20
80,4
81,7
82,18
83,16
84,18
85,12
86,8
87,1
88,1
89,18
90,8
91,17
92,12
93,16
94,18
95,15
96,18
97,13
98,19
99,9
100,17
101,13
102,19
103,19
104,13
105,20
106,16
107,15
108,12
109,19
110,13
111,12
112,18
113,19
114,20
115,13
116,19
117,12
118,11
119,15
120,19
121,19
122,16
123,18
124,20
125,19
126,17
127,11
128,15
129,20
130,19
131,20
132,20
133,16
134,18
135,11
136,16
137,13
138,18
139,3
140,17
141,17
142,20
143,19
144,18
145,11
146,4
147,9
148,20
149,5
150,15
151,17
152,17
153,20
154,15
155,6
156,19
157,19
158,17
159,18
160,14
161,8
162,15
163,20
164,16
165,1
166,17
167,16
168,16
169,12
170,10
171,14
172,20
173,3
174,20
175,16
176,10
177,16
178,15
179,5
180,14
181,19
182,14
183,20
184,16
185,15
186,18
187,3
188,17
189,15
190,10
191,19
192,10
193,20
194,19
195,12
196,15
197,17
198,9
199,15
200,14
201,14
202,18
203,6
204,16
205,19
206,16
207,16
208,20
209,9
210,18
211,20
212,13
213,14
214,7
215,20
216,18
217,19
218,16
219,19
220,20
221,20
222,20
223,20
224,16
225,8
226,10
227,8
228,11
229,11
230,18
231,10
232,17
233,14
234,20
235,18
236,20
237,14
238,5
239,16
240,15
241,17
242,12
243,17
244,13
245,16
246,17
247,9
248,17
249,3
250,18
251,15
252,13
253,5
254,18
255,15
256,19
257,9
258,17
259,6
260,18
261,19
262,7
263,14
264,13
265,18
266,20
267,20
268,14
269,12
270,17
271,11
272,15
273,19
274,17
275,20
276,12
277,3
278,17
279,13
280,0
281,15
282,17
283,13
284,10
285,20
286,10
287,12
288,18
289,11
290,16
291,19
292,20
293,11
294,5
295,19
296,15
297,3
298,12
299,19
300,17
301,10
302,16
303,12
304,13
305,9
306,19
307,13
308,16
309,15
310,20
311,20
312,17
313,10
314,17
315,18
316,9
317,18
318,12
319,14
320,15
321,18
322,16
323,19
324,5
325,17
326,13
327,17
328,18
329,20
330,10
331,11
332,19
333,13
334,18
335,18
336,12
337,6
338,6
339,17
340,15
341,8
342,20
343,15
344,19
345,14
346,12
347,16
348,20
349,15
350,16
351,16
352,20
353,4
354,15
355,0
356,16
357,20
358,20
359,19
360,0
361,16
362,2
363,5
364,9
365,18
366,19
367,20
368,8
369,17
370,20
371,20
372,18
373,17
374,15
375,17
376,3
377,16
378,16
379,15
380,11
381,20
382,17
383,20
384,16
385,17
386,8
387,18
388,19
389,16
390,19
391,16
392,7
393,7
394,19
395,3
396,20
397,20
398,19
399,16
400,15
401,18
402,20
403,20
404,7
405,19
406,12
407,14
408,13
409,18
410,17
411,13
412,19
413,13
414,5
415,14
416,16
417,19
418,20
419,14
420,14
421,15
422,18
423,14
424,19
425,16
426,14
427,19
428,20
429,19
430,15
431,20
432,20
433,20
434,18
435,10
436,12
437,16
438,17
439,13
440,20
441,19
442,19
443,12
444,16
445,19
446,14
447,20
448,20
449,18
450,5
451,18
452,16
453,9
454,8
455,20
456,20
457,10
458,1
459,15
460,20
461,14
462,16
463,20
464,18
465,7
466,14
467,16
468,20
469,17
470,16
471,20
472,14
473,12
474,14
475,19
476,2
477,16
478,18
479,20
480,17
481,20
482,15
483,16
484,14
485,10
486,13
487,20
488,11
489,17
490,3
491,18
492,0
493,6
494,16
495,16
496,12
497,18
498,12
499,6
500,15
501,16
502,20
503,13
504,18
505,20
506,8
507,8
508,0
509,7
510,13
511,12
512,9
513,19
514,0
515,17
516,18
517,19
518,16
519,20
520,13
521,20
522,18
523,19
524,15
525,8
526,20
527,16
528,19
529,20
530,20
531,15
532,11
533,17
534,16
535,12
536,20
537,9
538,12
539,20
540,19
541,12
542,3
543,17
544,19
545,8
546,17
547,17
548,17
549,16
550,12
551,9
552,6
553,15
554,16
555,19
556,17
557,16
558,19
559,14
560,15
561,18
562,8
563,19
564,9
565,17
566,14
567,9
568,18
569,7
570,13
571,18
572,6
573,16
574,14
575,20
576,20
577,20
578,17
579,19
580,17
581,0
582,11
583,18
584,19
585,9
586,10
587,19
588,12
589,20
590,20
591,19
592,17
593,19
594,13
595,19
596,18
597,14
598,18
599,16
600,10
601,11
602,2
603,17
604,15
605,11
606,19
607,17
608,5
609,5
610,16
611,18
612,14
613,2
614,9
615,7
616,18
617,17
618,10
619,7
620,17
621,20
622,6
623,17
624,13
625,18
626,16
627,20
628,14
629,19
630,6
631,20
632,13
633,16
634,20
635,15
636,18
637,5
638,6
639,15
640,20
641,19
642,17
643,19
644,7
645,16
646,20
647,9
648,12
649,6
650,9
651,4
652,16
653,14
654,19
655,0
656,14
657,18
658,19
659,17
660,19
661,10
662,15
663,19
664,18
665,4
666,12
667,16
668,7
669,13
670,17
671,16
672,11
673,16
674,20
675,19
676,19
677,13
678,17
679,11
680,12
681,20
682,12
683,10
684,13
685,19
686,13
687,10
688,3
689,3
690,15
691,17
692,14
693,18
694,18
695,18
696,17
697,19
698,12
699,17
700,6
701,5
702,20
703,20
704,19
705,11
706,20
707,12
708,18
709,18
710,4
711,20
712,5
713,9
714,16
715,13
716,19
717,14
718,17
719,19
720,18
721,8
722,15
723,14
724,15
725,14
726,18
727,20
728,16
729,18
730,17
731,20
732,16
733,13
734,19
735,19
736,4
737,16
738,14
739,7
740,20
741,15
742,8
743,19
744,15
745,11
746,9
747,15
748,14
749,19
750,15
751,14
752,20
753,9
754,9
755,12
756,17
757,20
758,20
759,3
760,19
761,18
762,20
763,19
764,11
765,7
766,7
767,18
768,12
769,18
770,5
771,19
772,16
773,18
774,14
775,16
776,19
777,8
778,19
779,20
780,15
781,1
782,16
783,15
784,0
785,17
786,5
787,8
788,19
789,15
790,17
791,20
792,18
793,11
794,9
795,16
796,11
797,15
798,18
799,17
800,14
801,11
802,13
803,16
804,6
805,12
806,18
807,20
808,19
809,19
810,16
811,11
812,14
813,15
814,19
815,20
816,20
817,5
818,20
819,19
820,16
821,12
822,17
823,14
824,19
825,20
826,19
827,6
828,16
829,20
830,7
831,14
832,20
833,9
834,7
835,6
836,17
837,18
838,19
839,6
840,20
841,16
842,12
843,18
844,19
845,13
846,5
847,9
848,18
849,18
850,6
851,3
852,16
853,15
854,12
855,14
856,14
857,19
858,19
859,17
860,17
861,16
862,6
863,12
864,17
865,9
866,18
867,13
868,18
869,20
870,11
871,17
872,13
873,10
874,16
875,12
876,20
877,12
878,14
879,16
880,14
881,18
882,14
883,2
884,20
885,15
886,19
887,18
888,18
889,2
890,16
891,13
892,18
893,3
894,8
895,5
896,19
897,16
898,14
899,9
900,14
901,14
902,12
903,19
904,9
905,10
906,17
907,13
908,15
909,18
910,7
911,14
912,15
913,13
914,17
915,7
916,8
917,16
918,6
919,2
920,5
921,15
922,8
923,6
924,17
925,11
926,19
927,20
928,17
929,17
930,10
931,17
932,16
933,9
934,9
935,11
936,15
937,6
938,10
939,15
940,11
941,3
942,1
943,9
944,11
945,2
946,7
947,10
948,12
949,16
950,16
951,16
952,17
953,19
954,6
955,20
956,19
957,8
958,13
959,16
960,16
961,11
962,20
963,12
964,13
965,8
966,14
967,20
968,16
969,19
970,6
971,14
972,19
973,8
974,13
975,5
976,18
977,16
978,17
979,15
980,18
981,12
982,8
983,14
984,6
985,15
986,4
987,18
988,13
989,8
990,0
991,9
992,18
993,10
994,15
995,16
996,7
997,19
998,17
999,20
1000,12
1001,9
1002,13
1003,10
1004,11
1005,12
1006,18
1007,17
1008,20
1009,17
1010,14
1011,11
1012,11
1013,15
1014,17
1015,17
1016,11
1017,15
1018,17
1019,13
1020,2
1021,20
1022,7
1023,20
1024,18
1025,18
1026,9
1027,20
1028,10
1029,10
1030,16
1031,17
1032,15
1033,14
1034,18
1035,13
1036,17
1037,14
1038,11
1039,16
1040,15
1041,20
1042,11
1043,17
1044,16
1045,17
1046,16
1047,8
1048,10
1049,20
1050,14
1051,10
1052,17
1053,20
1054,0
1055,5
1056,9
1057,4
1058,11
1059,18
1060,12
1061,10
1062,16
1063,15
1064,5
1065,16
1066,14
1067,7
1068,15
1069,19
1070,18
1071,12
1072,19
1073,13
1074,16
1075,19
1076,9
1077,5
1078,15
1079,19
1080,13
1081,8
1082,14
1083,15
1084,15
1085,16
1086,18
1087,13
1088,18
1089,2
1090,2
1091,13
1092,7
1093,18
1094,17
1095,20
1096,16
1097,14
1098,20
1099,15
1100,8
1101,13
1102,16
1103,13
1104,19
1105,9
1106,6
1107,12
1108,10
1109,17
1110,14
1111,15
1112,15
1113,9
1114,10
1115,15
1116,10
1117,4
1118,17
1119,9
1120,17
1121,13
1122,15
1123,14
1124,15
1125,7
1126,6
1127,20
1128,13
1129,13
1130,6
1131,5
